iter	Passed	Remaining
0	1	1891
1	2	1174
2	3	1121
3	4	1074
4	5	1031
5	6	994
6	6	967
7	7	941
8	8	896
9	8	869
10	9	845
11	10	829
12	10	819
13	11	808
14	12	799
15	12	791
16	13	784
17	17	981
18	18	953
19	20	984
20	20	958
21	21	944
22	21	931
23	22	913
24	22	893
25	23	873
26	23	855
27	24	854
28	25	837
29	25	818
30	25	803
31	26	790
32	26	778
33	27	773
34	27	761
35	27	748
36	28	738
37	28	727
38	29	719
39	29	710
40	30	710
41	30	702
42	31	694
43	31	694
44	32	695
45	33	702
46	34	696
47	35	695
48	35	685
49	35	681
50	36	676
51	36	672
52	37	668
53	37	662
54	38	662
55	38	657
56	39	651
57	39	646
58	40	642
59	40	635
60	40	630
61	41	624
62	41	621
63	42	617
64	42	614
65	43	609
66	43	605
67	43	601
68	44	596
69	44	594
70	45	590
71	45	586
72	45	582
73	46	579
74	47	585
75	48	585
76	48	585
77	49	583
78	49	580
79	50	576
80	51	580
81	51	577
82	52	574
83	52	571
84	52	568
85	54	582
86	55	580
87	55	577
88	60	623
89	61	624
90	63	637
91	65	644
92	66	649
93	69	672
94	70	673
95	71	671
96	72	672
97	72	669
98	73	666
99	74	667
100	75	674
101	77	684
102	79	690
103	80	697
104	81	694
105	81	691
106	82	687
107	82	683
108	83	680
109	83	677
110	84	673
111	84	669
112	84	666
113	85	662
114	85	657
115	85	653
116	86	650
117	86	646
118	86	643
119	87	638
120	87	635
121	87	632
122	88	629
123	88	626
124	89	624
125	89	622
126	90	620
127	95	651
128	96	648
129	96	645
130	96	642
131	97	639
132	97	636
133	99	642
134	99	639
135	101	643
136	101	640
137	101	636
138	102	632
139	105	649
140	107	653
141	107	651
142	109	655
143	109	653
144	110	650
145	110	647
146	111	644
147	111	641
148	111	638
149	112	636
150	112	633
151	113	631
152	119	660
153	119	658
154	120	655
155	120	653
156	121	650
157	121	647
158	122	645
159	122	642
160	122	639
161	123	637
162	125	644
163	125	641
164	129	657
165	130	654
166	130	651
167	130	648
168	131	646
169	131	643
170	132	642
171	135	652
172	135	649
173	140	664
174	141	667
175	142	667
176	149	695
177	150	695
178	151	695
179	152	694
180	153	693
181	154	694
182	156	697
183	158	701
184	164	726
185	166	726
186	167	726
187	167	725
188	168	724
189	170	725
190	171	726
191	172	727
192	174	729
193	180	750
194	181	750
195	182	748
196	183	747
197	184	746
198	185	746
199	186	747
200	188	749
201	190	751
202	193	759
203	195	762
204	196	763
205	198	763
206	199	765
207	201	767
208	202	768
209	204	768
210	206	770
211	207	772
212	209	773
213	209	771
214	210	768
215	210	765
216	211	763
217	211	759
218	212	756
219	212	753
220	213	750
221	213	748
222	213	745
223	219	759
224	219	756
225	220	753
226	220	751
227	220	748
228	221	744
229	221	741
230	221	739
231	222	736
232	222	732
233	223	730
234	223	727
235	224	726
236	225	725
237	226	723
238	226	721
239	227	719
240	227	716
241	228	714
242	228	711
243	229	709
244	229	706
245	229	704
246	230	701
247	230	698
248	230	695
249	231	693
250	233	698
251	234	695
252	234	693
253	235	690
254	235	689
255	236	687
256	237	686
257	238	685
258	238	682
259	239	680
260	239	678
261	240	677
262	241	675
263	241	673
264	242	672
265	242	669
266	243	667
267	244	667
268	245	667
269	246	667
270	250	673
271	251	671
272	251	669
273	251	666
274	252	664
275	252	662
276	252	659
277	253	657
278	253	655
279	254	653
280	254	651
281	255	649
282	255	647
283	255	645
284	256	642
285	256	640
286	257	638
287	257	636
288	257	634
289	258	632
290	258	630
291	259	628
292	259	626
293	264	635
294	265	633
295	265	631
296	265	629
297	268	633
298	269	631
299	271	633
300	272	631
301	272	629
302	272	627
303	273	625
304	273	623
305	273	621
306	274	619
307	274	617
308	275	615
309	275	613
310	275	611
311	276	609
312	281	617
313	291	636
314	292	636
315	293	635
316	294	634
317	296	636
318	300	641
319	304	646
320	306	647
321	308	650
322	310	651
323	312	651
324	314	652
325	316	653
326	317	653
327	318	653
328	320	653
329	322	654
330	322	652
331	323	649
332	323	648
333	323	646
334	324	644
335	324	642
336	325	640
337	325	638
338	326	635
339	326	634
340	327	632
341	327	630
342	328	628
343	328	626
344	329	624
345	329	622
346	330	621
347	330	619
348	331	619
349	332	617
350	332	615
351	333	613
352	333	611
353	338	617
354	340	618
355	341	618
356	342	616
357	342	614
358	343	612
359	343	610
360	344	608
361	344	607
362	344	605
363	345	603
364	345	601
365	345	599
366	346	597
367	346	595
368	347	593
369	347	592
370	348	590
371	348	588
372	348	586
373	349	584
374	349	583
375	350	581
376	351	580
377	351	578
378	352	576
379	352	575
380	352	573
381	353	571
382	353	569
383	354	568
384	354	566
385	354	564
386	355	562
387	355	560
388	355	559
389	357	559
390	357	557
391	358	555
392	358	553
393	359	552
394	359	550
395	359	549
396	360	547
397	360	545
398	361	544
399	361	542
400	362	540
401	365	542
402	365	541
403	365	539
404	366	537
405	371	544
406	373	544
407	375	544
408	376	544
409	378	544
410	379	544
411	380	542
412	380	541
413	381	539
414	381	537
415	382	536
416	382	534
417	382	533
418	383	531
419	383	530
420	384	528
421	384	526
422	384	524
423	385	523
424	385	522
425	390	525
426	392	526
427	393	526
428	395	526
429	397	527
430	400	528
431	402	528
432	404	529
433	405	529
434	407	529
435	409	529
436	410	528
437	412	528
438	413	528
439	415	528
440	416	528
441	418	528
442	421	530
443	425	532
444	427	532
445	428	532
446	430	532
447	438	540
448	439	539
449	440	538
450	441	537
451	442	535
452	442	534
453	443	533
454	444	532
455	445	530
456	445	529
457	446	528
458	447	527
459	447	525
460	448	524
461	454	529
462	455	528
463	456	526
464	456	525
465	457	524
466	457	522
467	458	521
468	459	520
469	460	518
470	460	517
471	461	516
472	462	515
473	463	514
474	464	513
475	471	518
476	472	517
477	473	516
478	474	515
479	475	514
480	475	513
481	476	512
482	477	510
483	478	509
484	478	508
485	479	507
486	480	505
487	480	504
488	481	503
489	482	502
490	489	507
491	489	505
492	490	504
493	491	503
494	492	502
495	492	500
496	494	500
497	494	498
498	495	497
499	500	500
500	501	499
501	502	498
502	503	497
503	504	496
504	505	495
505	506	494
506	506	492
507	507	491
508	508	490
509	517	497
510	518	496
511	519	494
512	519	493
513	520	492
514	521	490
515	521	489
516	522	488
517	525	489
518	527	489
519	529	488
520	530	487
521	530	486
522	532	485
523	533	484
524	534	483
525	534	481
526	539	484
527	540	483
528	541	482
529	542	480
530	543	479
531	543	478
532	544	477
533	545	475
534	545	474
535	546	473
536	548	472
537	549	471
538	549	470
539	553	471
540	560	475
541	561	474
542	562	473
543	563	471
544	563	470
545	564	469
546	565	468
547	567	467
548	567	466
549	568	465
550	569	464
551	570	462
552	572	462
553	573	461
554	574	460
555	574	459
556	578	460
557	579	458
558	580	457
559	581	456
560	581	455
561	582	454
562	583	452
563	584	451
564	585	450
565	585	449
566	587	448
567	587	447
568	588	445
569	589	444
570	590	443
571	594	444
572	595	444
573	597	443
574	598	442
575	601	443
576	605	443
577	606	442
578	608	442
579	610	441
580	610	440
581	611	439
582	611	437
583	612	436
584	614	435
585	616	435
586	618	434
587	619	434
588	621	433
589	623	433
590	625	432
591	625	431
592	629	431
593	630	430
594	631	430
595	633	429
596	634	428
597	636	427
598	637	426
599	639	426
600	640	425
601	641	424
602	641	422
603	643	421
604	644	420
605	646	420
606	647	419
607	649	418
608	650	417
609	652	417
610	653	416
611	655	415
612	656	414
613	658	413
614	659	412
615	660	411
616	661	410
617	662	409
618	663	408
619	664	407
620	666	407
621	667	405
622	669	405
623	670	404
624	671	403
625	673	402
626	674	401
627	675	400
628	676	399
629	677	398
630	678	396
631	678	395
632	679	393
633	679	392
634	679	390
635	680	389
636	680	387
637	681	386
638	681	385
639	681	383
640	682	382
641	682	380
642	682	379
643	683	377
644	683	376
645	683	374
646	684	373
647	684	371
648	685	370
649	685	369
650	685	367
651	686	366
652	686	364
653	687	363
654	687	362
655	688	360
656	688	359
657	688	358
658	689	356
659	689	355
660	690	353
661	690	352
662	691	351
663	691	349
664	691	348
665	692	347
666	692	345
667	693	344
668	693	343
669	694	341
670	694	340
671	694	339
672	695	337
673	695	336
674	696	335
675	696	334
676	697	332
677	697	331
678	698	330
679	698	328
680	698	327
681	699	326
682	699	324
683	700	323
684	701	322
685	701	321
686	702	319
687	702	318
688	702	317
689	703	316
690	703	314
691	704	313
692	704	312
693	705	310
694	705	309
695	706	308
696	706	307
697	707	305
698	707	304
699	713	305
700	715	305
701	717	304
702	720	304
703	722	303
704	723	302
705	725	301
706	726	301
707	728	300
708	729	299
709	730	298
710	731	297
711	732	296
712	734	295
713	735	294
714	737	293
715	739	293
716	740	292
717	742	291
718	744	291
719	746	290
720	747	289
721	749	288
722	751	287
723	752	286
724	754	286
725	755	285
726	756	284
727	758	283
728	759	282
729	760	281
730	762	280
731	764	279
732	765	279
733	768	278
734	769	277
735	771	276
736	772	275
737	773	274
738	775	273
739	777	273
740	779	272
741	780	271
742	782	270
743	783	269
744	785	268
745	786	267
746	788	266
747	789	265
748	790	265
749	793	264
750	794	263
751	796	262
752	797	261
753	799	260
754	800	259
